,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team,Score
106,0.12244897959183731,0.6762589928057552,0.5517241379310343,0.7475728155339807,0.3129251700680272,0.23947368421052628,0.8475609756097564,0.7878787878787881,0.706043956043956,0.4870129870129869,0.4724409448818897,0.46153846153846145,0.48044692737430195,0.7916666666666666,0.2601156069364161,0.5590062111801242,0.6000000000000001,0.5538461538461539,0.310344827586207,0.40506329113924067,0.5142857142857138,0.6099476439790577,1996,CHI,5.0
543,0.48979591836734926,0.4820143884892083,0.29741379310344795,0.766990291262136,0.34693877551020413,0.3184210526315789,0.6097560975609755,0.5530303030303028,0.45879120879120894,0.6363636363636367,0.8110236220472441,0.7692307692307694,0.558659217877095,0.41666666666666663,0.2890173410404624,0.36645962732919246,0.5714285714285714,0.8153846153846154,0.41379310344827597,0.8227848101265824,0.7047619047619045,0.5916230366492146,1996,OKC,4.0
556,0.4285714285714306,0.5971223021582732,0.4224137931034484,0.7864077669902914,0.38095238095238093,0.33421052631578946,0.6951219512195121,0.6363636363636362,0.5219780219780219,0.6233766233766236,0.5196850393700788,0.6272189349112425,0.1731843575418992,0.4375000000000001,0.25433526011560703,0.341614906832298,0.6428571428571428,0.3999999999999999,0.4482758620689656,0.379746835443038,0.3999999999999999,0.5916230366492146,1996,ORL,3.0
745,0.24489795918367463,0.5323741007194243,0.30603448275862055,0.8446601941747574,0.17687074829931973,0.13157894736842107,0.6585365853658536,0.7954545454545459,0.6593406593406597,0.5714285714285716,0.7401574803149608,0.6804733727810652,0.603351955307263,0.4687500000000001,0.23121387283236983,0.3354037267080745,0.6928571428571431,0.3999999999999999,0.46551724137931033,0.4683544303797469,0.7999999999999998,0.5392670157068062,1996,UTA,3.0
0,0.06122448979591866,0.7697841726618702,0.7370689655172411,0.6699029126213594,0.7414965986394558,0.7105263157894737,0.6707317073170731,0.4166666666666665,0.3296703296703296,0.7142857142857144,0.46456692913385844,0.3372781065088757,0.8491620111731844,0.2500000000000001,0.5202312138728322,0.5217391304347827,0.5857142857142859,0.2615384615384615,0.310344827586207,0.10126582278481022,0.19999999999999973,0.837696335078534,1996,ATL,2.0
268,0.3061224489795933,0.4820143884892083,0.4224137931034484,0.6116504854368934,0.3945578231292517,0.37105263157894736,0.597560975609756,0.5075757575757578,0.4835164835164836,0.5194805194805197,0.5826771653543309,0.5384615384615383,0.58659217877095,0.3750000000000001,0.2890173410404624,0.341614906832298,0.5571428571428572,0.36923076923076925,0.5862068965517242,0.5189873417721518,0.45714285714285685,0.5392670157068062,1996,HOU,2.0
502,0.36734693877551194,0.4172661870503598,0.2844827586206895,0.6796116504854366,0.26530612244897966,0.2184210526315789,0.6890243902439026,0.5757575757575757,0.5576923076923079,0.47402597402597424,0.45669291338582674,0.42603550295857984,0.541899441340782,0.26041666666666663,0.2890173410404624,0.2732919254658386,0.41428571428571437,0.36923076923076925,0.37931034482758624,0.5569620253164558,0.5809523809523807,0.4005235602094239,1996,NYK,2.0
691,0.24489795918367463,0.5467625899280573,0.40086206896551735,0.7378640776699026,0.2925170068027211,0.22894736842105268,0.7804878048780488,0.6818181818181821,0.6181318681318684,0.5,0.6377952755905513,0.650887573964497,0.42458100558659195,0.39583333333333337,0.3815028901734103,0.45962732919254634,0.6071428571428572,0.36923076923076925,0.7068965517241381,0.4430379746835442,0.5333333333333328,0.5628272251308903,1996,SAS,2.0
133,0.36734693877551194,0.2086330935251799,0.0818965517241379,0.5728155339805827,0.3605442176870749,0.31315789473684214,0.6890243902439026,0.25,0.3296703296703296,0.44805194805194803,0.3385826771653543,0.29585798816568043,0.575418994413408,0.3125000000000001,0.011560693641618602,0.0,0.41428571428571437,0.41538461538461524,0.29310344827586204,0.25316455696202533,0.3714285714285712,0.24083769633507845,1996,CLE,1.0
214,0.36734693877551194,0.2517985611510789,0.15086206896551735,0.5631067961165046,0.3129251700680272,0.23947368421052628,0.853658536585366,0.34090909090909083,0.447802197802198,0.35064935064935066,0.6299212598425196,0.6094674556213016,0.508379888268156,0.3333333333333336,0.2832369942196533,0.30434782608695654,0.22857142857142887,0.10769230769230764,0.32758620689655177,0.4683544303797469,0.6857142857142855,0.3534031413612566,1996,DET,1.0
