,Team,Actual_Score,Year,Predicted_Score
125,DET,1.0,2000,1.406823163900369
128,OKC,1.0,2000,1.3846882664188311
137,DAL,0.0,2000,1.2779313746188539
133,BOS,0.0,2000,1.2473842622952533
140,HOU,0.0,2000,1.1379332041386951
134,BRK,0.0,2000,1.025812330039503
136,CLE,0.0,2000,0.7128548735036437
144,WAS,0.0,2000,0.566211671390358
138,DEN,0.0,2000,0.3604217517292845
132,ATL,0.0,2000,0.07353572383371931
142,MEM,0.0,2000,-0.2094576361410685
139,GSW,0.0,2000,-0.5251024820891499
135,CHI,0.0,2000,-1.114184734017205
141,LAC,0.0,2000,-2.268482972806101
148,SAS,4.0,2001,3.4761740531766154
146,PHI,7.0,2001,3.32155702788617
159,POR,1.0,2001,2.8622153695103867
147,MIL,4.0,2001,2.737131837737445
151,SAC,2.0,2001,2.5947421342700037
149,CHO,2.0,2001,2.395100459764436
160,UTA,1.0,2001,2.3286728233421754
145,LAL,10.0,2001,2.125341014420154
152,TOR,2.0,2001,2.0311627834578534
150,DAL,2.0,2001,2.0062803524275648
169,HOU,0.0,2001,1.8839988137234704
156,NYK,1.0,2001,1.8483990728911195
155,MIN,1.0,2001,1.796942994560605
158,PHO,1.0,2001,1.7416607522532161
154,MIA,1.0,2001,1.6443094465657513
153,IND,1.0,2001,1.4141308525380827
172,OKC,0.0,2001,1.2144206247240807
157,ORL,1.0,2001,1.139345309938902
167,DET,0.0,2001,0.996678394243125
166,DEN,0.0,2001,0.6585597156726819
165,CLE,0.0,2001,0.6504811640836983
161,ATL,0.0,2001,-0.03638217254336723
162,BOS,0.0,2001,-0.04220009643522893
170,LAC,0.0,2001,-0.0428426481439127
173,WAS,0.0,2001,-0.04658266053587351
163,BRK,0.0,2001,-0.2511442297625994
171,MEM,0.0,2001,-0.26388277359107615
168,GSW,0.0,2001,-0.8004913341058191
164,CHI,0.0,2001,-1.456985210912873
177,SAC,4.0,2002,4.10600254048844
174,LAL,10.0,2002,3.7614494271115686
181,SAS,2.0,2002,3.114915441055083
186,PHI,1.0,2002,3.012672216937215
175,BRK,7.0,2002,2.822867917964117
183,MIN,1.0,2002,2.6284166678864924
178,CHO,2.0,2002,2.441539288713381
