,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team,Score,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,DRB%,FT/FGA_opp
106,0.12244897959183731,0.6762589928057552,0.5517241379310343,0.7475728155339807,0.3129251700680272,0.23947368421052628,0.8475609756097564,0.7878787878787881,0.706043956043956,0.4870129870129869,0.4724409448818897,0.46153846153846145,0.48044692737430195,0.7916666666666666,0.2601156069364161,0.5590062111801242,0.6000000000000001,0.5538461538461539,0.310344827586207,0.40506329113924067,0.5142857142857138,0.6099476439790577,1996,CHI,10.0,1.0,0.2820512820512821,1.0,0.8812260536398475,0.32765957446808525,0.9999999999999998,0.3859649122807016,0.40585774058577395,0.2382075471698113,0.6126760563380285,0.6158940397351,0.3950617283950617,1.0,0.38743455497382207,0.418439716312057,0.6666666666666667,0.4385026737967914,0.349462365591398
543,0.48979591836734926,0.4820143884892083,0.29741379310344795,0.766990291262136,0.34693877551020413,0.3184210526315789,0.6097560975609755,0.5530303030303028,0.45879120879120894,0.6363636363636367,0.8110236220472441,0.7692307692307694,0.558659217877095,0.41666666666666663,0.2890173410404624,0.36645962732919246,0.5714285714285714,0.8153846153846154,0.41379310344827597,0.8227848101265824,0.7047619047619045,0.5916230366492146,1996,OKC,7.0,0.8298279158699808,0.3025641025641026,0.829192546583851,0.6934865900383147,0.3404255319148941,0.818181818181818,0.5043859649122808,0.7740585774058577,0.36320754716981124,0.7464788732394365,0.6754966887417222,0.7777777777777777,0.6210526315789475,0.7591623036649213,0.397163120567376,0.735632183908046,0.35294117647058876,0.510752688172043
556,0.4285714285714306,0.5971223021582732,0.4224137931034484,0.7864077669902914,0.38095238095238093,0.33421052631578946,0.6951219512195121,0.6363636363636362,0.5219780219780219,0.6233766233766236,0.5196850393700788,0.6272189349112425,0.1731843575418992,0.4375000000000001,0.25433526011560703,0.341614906832298,0.6428571428571428,0.3999999999999999,0.4482758620689656,0.379746835443038,0.3999999999999999,0.5916230366492146,1996,ORL,4.0,0.7445506692160612,0.4256410256410257,0.7515527950310559,0.7931034482758625,0.5446808510638306,0.7412587412587411,0.4166666666666661,0.594142259414226,0.3608490566037735,0.6619718309859155,0.6953642384105967,0.4074074074074072,0.5842105263157895,0.46596858638743455,0.48226950354609954,0.4252873563218391,0.31550802139037426,0.3548387096774195
745,0.24489795918367463,0.5323741007194243,0.30603448275862055,0.8446601941747574,0.17687074829931973,0.13157894736842107,0.6585365853658536,0.7954545454545459,0.6593406593406597,0.5714285714285716,0.7401574803149608,0.6804733727810652,0.603351955307263,0.4687500000000001,0.23121387283236983,0.3354037267080745,0.6928571428571431,0.3999999999999999,0.46551724137931033,0.4683544303797469,0.7999999999999998,0.5392670157068062,1996,UTA,4.0,0.7839388145315487,0.33333333333333337,0.7845496894409938,0.808429118773947,0.5106382978723412,0.7832167832167831,0.33771929824561386,0.6903765690376569,0.14858490566037735,0.6901408450704221,0.6158940397351,0.5185185185185184,0.7210526315789476,0.6963350785340314,0.46808510638297873,0.5517241379310345,0.4705882352941182,0.7419354838709677
0,0.06122448979591866,0.7697841726618702,0.7370689655172411,0.6699029126213594,0.7414965986394558,0.7105263157894737,0.6707317073170731,0.4166666666666665,0.3296703296703296,0.7142857142857144,0.46456692913385844,0.3372781065088757,0.8491620111731844,0.2500000000000001,0.5202312138728322,0.5217391304347827,0.5857142857142859,0.2615384615384615,0.310344827586207,0.10126582278481022,0.19999999999999973,0.837696335078534,1996,ATL,2.0,0.5785850860420649,0.5435897435897437,0.5920031055900621,0.6590038314176252,0.591489361702128,0.5804195804195803,0.320175438596491,0.45188284518828437,0.33962264150943394,0.464788732394366,0.43708609271523224,0.5061728395061729,0.8473684210526315,0.4502617801047122,0.6312056737588656,0.6896551724137931,0.22459893048128343,0.32258064516129026
268,0.3061224489795933,0.4820143884892083,0.4224137931034484,0.6116504854368934,0.3945578231292517,0.37105263157894736,0.597560975609756,0.5075757575757578,0.4835164835164836,0.5194805194805197,0.5826771653543309,0.5384615384615383,0.58659217877095,0.3750000000000001,0.2890173410404624,0.341614906832298,0.5571428571428572,0.36923076923076925,0.5862068965517242,0.5189873417721518,0.45714285714285685,0.5392670157068062,1996,HOU,2.0,0.5984703632887189,0.44615384615384623,0.6052018633540373,0.6551724137931036,0.5659574468085111,0.5979020979020978,0.47807017543859676,0.514644351464435,0.4009433962264151,0.6126760563380285,0.5827814569536427,0.5185185185185184,0.4736842105263157,0.5235602094240837,0.5106382978723407,0.3793103448275861,0.3048128342245988,0.26344086021505375
502,0.36734693877551194,0.4172661870503598,0.2844827586206895,0.6796116504854366,0.26530612244897966,0.2184210526315789,0.6890243902439026,0.5757575757575757,0.5576923076923079,0.47402597402597424,0.45669291338582674,0.42603550295857984,0.541899441340782,0.26041666666666663,0.2890173410404624,0.2732919254658386,0.41428571428571437,0.36923076923076925,0.37931034482758624,0.5569620253164558,0.5809523809523807,0.4005235602094239,1996,NYK,2.0,0.6206500956022944,0.46666666666666673,0.6288819875776397,0.5287356321839085,0.40000000000000036,0.6188811188811187,0.3815789473684208,0.4686192468619246,0.25,0.5774647887323945,0.5629139072847686,0.617283950617284,0.40000000000000013,0.46596858638743455,0.375886524822695,0.517241379310345,0.4385026737967914,0.5053763440860215
691,0.24489795918367463,0.5467625899280573,0.40086206896551735,0.7378640776699026,0.2925170068027211,0.22894736842105268,0.7804878048780488,0.6818181818181821,0.6181318681318684,0.5,0.6377952755905513,0.650887573964497,0.42458100558659195,0.39583333333333337,0.3815028901734103,0.45962732919254634,0.6071428571428572,0.36923076923076925,0.7068965517241381,0.4430379746835442,0.5333333333333328,0.5628272251308903,1996,SAS,2.0,0.7728489483747609,0.3384615384615385,0.7740683229813665,0.6896551724137931,0.40000000000000036,0.7657342657342656,0.4824561403508767,0.6192468619246863,0.24764150943396224,0.6338028169014085,0.6092715231788084,0.45679012345679015,0.5052631578947369,0.5706806282722512,0.34751773049645385,0.4137931034482758,0.3796791443850269,0.31720430107526876
133,0.36734693877551194,0.2086330935251799,0.0818965517241379,0.5728155339805827,0.3605442176870749,0.31315789473684214,0.6890243902439026,0.25,0.3296703296703296,0.44805194805194803,0.3385826771653543,0.29585798816568043,0.575418994413408,0.3125000000000001,0.011560693641618602,0.0,0.41428571428571437,0.41538461538461524,0.29310344827586204,0.25316455696202533,0.3714285714285712,0.24083769633507845,1996,CLE,1.0,0.6309751434034416,0.4615384615384616,0.6385869565217391,0.6781609195402303,0.536170212765958,0.6433566433566432,0.0,0.42677824267782416,0.39858490566037735,0.5845070422535215,0.5695364238410598,0.46913580246913567,0.5631578947368423,0.4345549738219896,0.5886524822695036,0.6896551724137931,0.3903743315508028,0.456989247311828
214,0.36734693877551194,0.2517985611510789,0.15086206896551735,0.5631067961165046,0.3129251700680272,0.23947368421052628,0.853658536585366,0.34090909090909083,0.447802197802198,0.35064935064935066,0.6299212598425196,0.6094674556213016,0.508379888268156,0.3333333333333336,0.2832369942196533,0.30434782608695654,0.22857142857142887,0.10769230769230764,0.32758620689655177,0.4683544303797469,0.6857142857142855,0.3534031413612566,1996,DET,1.0,0.6275334608030593,0.4820512820512821,0.6370341614906833,0.6015325670498091,0.4680851063829792,0.6293706293706293,0.23684210526315796,0.6945606694560669,0.29716981132075465,0.5845070422535215,0.5298013245033117,0.5802469135802468,0.5315789473684212,0.6701570680628273,0.4255319148936172,0.3908045977011494,0.4705882352941182,0.3870967741935485
