,Team,Actual_Score,Year,Predicted_Score
168,GSW,0.0,2001,0.3685858399613571
169,HOU,0.0,2001,1.5558107111562745
170,LAC,0.0,2001,0.5851236846127721
171,MEM,0.0,2001,0.569764984776141
172,OKC,0.0,2001,1.635626547101686
173,WAS,0.0,2001,0.515897998777372
174,LAL,10.0,2002,3.112470964485116
175,BRK,7.0,2002,1.9948401971926448
176,BOS,4.0,2002,0.90594961549465
177,SAC,4.0,2002,3.7902411090825696
178,CHO,2.0,2002,2.2984092171721153
179,DAL,2.0,2002,1.9423119635085602
180,DET,2.0,2002,1.06703390739863
181,SAS,2.0,2002,2.6902906075580213
182,IND,1.0,2002,1.5610312711053238
183,MIN,1.0,2002,2.427938005155329
184,OKC,1.0,2002,1.9805406753770982
185,ORL,1.0,2002,0.9049820376669526
186,PHI,1.0,2002,2.3914780444360124
187,POR,1.0,2002,2.3372185760502595
188,TOR,1.0,2002,1.0605389326405623
189,UTA,1.0,2002,2.1605909118778834
190,ATL,0.0,2002,2.2480737724389517
191,CHI,0.0,2002,0.24223222848794723
192,CLE,0.0,2002,1.5071537769589392
193,DEN,0.0,2002,-0.3032837411434036
194,GSW,0.0,2002,1.2426485000967125
195,HOU,0.0,2002,0.23308568884749215
196,LAC,0.0,2002,1.416923607754613
197,MEM,0.0,2002,0.5165867542508229
198,MIA,0.0,2002,0.9788811942777915
199,MIL,0.0,2002,1.6101840388476023
200,NYK,0.0,2002,0.03465610249981088
201,PHO,0.0,2002,0.9757808663578
202,WAS,0.0,2002,1.6880152920781821
203,SAS,10.0,2003,2.46772306688054
204,BRK,7.0,2003,2.1012150481499665
205,DAL,4.0,2003,1.7865595772294958
206,DET,4.0,2003,0.736159090356119
207,BOS,2.0,2003,0.1758291732633761
208,LAL,2.0,2003,2.08911753273966
209,PHI,2.0,2003,2.2673368641991014
210,SAC,2.0,2003,2.9187869179159907
211,IND,1.0,2003,2.3873636202626045
212,MIL,1.0,2003,1.1430974752742826
213,MIN,1.0,2003,2.496863727151487
214,NOP,1.0,2003,1.2688721755625312
215,ORL,1.0,2003,0.29983700423754467
216,PHO,1.0,2003,1.1365685519780373
217,POR,1.0,2003,1.9212250077270512
218,UTA,1.0,2003,2.8418713625873675
219,ATL,0.0,2003,2.2516963466602005
220,CHI,0.0,2003,0.42548044596920365
221,CLE,0.0,2003,-0.35662268236304495
222,DEN,0.0,2003,-0.885040610061429
223,GSW,0.0,2003,1.610284958786492
224,HOU,0.0,2003,1.160831213084482
225,LAC,0.0,2003,0.6392901934529676
226,MEM,0.0,2003,0.9782856891234353
227,MIA,0.0,2003,-0.44503206843136817
228,NYK,0.0,2003,-0.826640426001247
229,OKC,0.0,2003,1.22185816262889
230,TOR,0.0,2003,0.11486004274100503
231,WAS,0.0,2003,1.2609019842477238
232,DET,10.0,2004,2.0944218839096496
233,LAL,7.0,2004,3.09278046056262
234,IND,4.0,2004,2.104634628567259
235,MIN,4.0,2004,2.7758512239439574
236,BRK,2.0,2004,1.705234864015058
237,MIA,2.0,2004,0.7639926566098463
238,SAC,2.0,2004,2.145815088950229
239,SAS,2.0,2004,3.4953209281450603
240,BOS,1.0,2004,1.066988953804299
241,DAL,1.0,2004,2.519786542657421
242,DEN,1.0,2004,1.298999942587016
243,HOU,1.0,2004,0.7299887099979601
244,MEM,1.0,2004,2.095920254814055
245,MIL,1.0,2004,1.6254073440755064
246,NOP,1.0,2004,0.7867346490119658
247,NYK,1.0,2004,0.5707946720608429
248,ATL,0.0,2004,2.2450525495597153
249,CHI,0.0,2004,-0.01767432315859968
250,CLE,0.0,2004,1.670295728464401
251,GSW,0.0,2004,1.5418483238041067
252,LAC,0.0,2004,0.2347640527746121
253,OKC,0.0,2004,0.292516695196415
254,ORL,0.0,2004,-0.1385684398516417
255,PHI,0.0,2004,0.5703121066768864
256,PHO,0.0,2004,0.7197800141049999
257,POR,0.0,2004,1.2469101919548828
258,TOR,0.0,2004,-0.2536613813089583
259,UTA,0.0,2004,0.6252342569375338
260,WAS,0.0,2004,0.28028612641962725
261,SAS,10.0,2005,2.9107455293533
262,DET,7.0,2005,2.5715407713811844
263,MIA,4.0,2005,4.226175561595051
264,PHO,4.0,2005,2.45389196770725
265,DAL,2.0,2005,2.915682305672365
266,IND,2.0,2005,0.9648064184983915
267,OKC,2.0,2005,0.6661150246997225
268,WAS,2.0,2005,1.6990921939429053
269,BOS,1.0,2005,1.5446248915650853
270,BRK,1.0,2005,0.47047035283284155
271,CHI,1.0,2005,0.3076474465241601
272,DEN,1.0,2005,2.7128349321789686
273,HOU,1.0,2005,1.7315264368895946
274,MEM,1.0,2005,1.569717422053973
275,PHI,1.0,2005,0.8036697627014306
276,SAC,1.0,2005,1.710441585526422
277,ATL,0.0,2005,2.049381347463501
278,CHO,0.0,2005,0.9190384216536731
279,CLE,0.0,2005,1.8673687279564077
280,GSW,0.0,2005,0.5140882175517715
281,LAC,0.0,2005,1.594425486871692
282,LAL,0.0,2005,0.7494392032158067
283,MIL,0.0,2005,1.1322296249368622
284,MIN,0.0,2005,1.724183897509148
285,NOP,0.0,2005,-1.2888867628282812
286,NYK,0.0,2005,0.6940331188298834
287,ORL,0.0,2005,1.6290501743707042
288,POR,0.0,2005,1.1123747277075322
289,TOR,0.0,2005,0.8377463271789602
290,UTA,0.0,2005,0.5169043713391848
291,MIA,10.0,2006,3.520213266009562
292,DAL,7.0,2006,2.723811314150085
293,DET,4.0,2006,3.072958703384524
